5412	Acanthizidae	Sericornis	virgatus	Sericornis virgatus	Perplexing Scrubwren
5413	Acanthizidae	Sericornis	nouhuysi	Sericornis nouhuysi	Large Scrubwren
5414	Acanthizidae	Sericornis	magnirostra	Sericornis magnirostra	Large-billed Scrubwren
5415	Acanthizidae	Sericornis	rufescens	Sericornis rufescens	Vogelkop Scrubwren
5416	Acanthizidae	Sericornis	perspicillatus	Sericornis perspicillatus	Buff-faced Scrubwren
5417	Acanthizidae	Sericornis	arfakianus	Sericornis arfakianus	Grey-green Scrubwren
5418	Acanthizidae	Sericornis	papuensis	Sericornis papuensis	Papuan Scrubwren
5419	Acanthizidae	Sericornis	spilodera	Sericornis spilodera	Pale-billed Scrubwren
5439	Acanthizidae	Smicrornis	brevirostris	Smicrornis brevirostris	Weebill
80000	Accipitridae	Accipiter		Accipiter sp. 	\N
3419	Accipitridae	Accipiter	poliogaster	Accipiter poliogaster	Gray-bellied Hawk
3420	Accipitridae	Accipiter	trivirgatus	Accipiter trivirgatus	Crested Goshawk
3421	Accipitridae	Accipiter	griseiceps	Accipiter griseiceps	Sulawesi Goshawk
3422	Accipitridae	Accipiter	toussenelii	Accipiter toussenelii	\N
31034	Accipitridae	Accipiter	tachiro	Accipiter tachiro	\N
3423	Accipitridae	Accipiter	tachiro	Accipiter tachiro	African Goshawk
3424	Accipitridae	Accipiter	castanilius	Accipiter castanilius	Chestnut-flanked Sparrowhawk
3425	Accipitridae	Accipiter	badius	Accipiter badius	Shikra
3426	Accipitridae	Accipiter	butleri	Accipiter butleri	Nicobar Sparrowhawk
3427	Accipitridae	Accipiter	brevipes	Accipiter brevipes	Levant Sparrowhawk
3428	Accipitridae	Accipiter	soloensis	Accipiter soloensis	Chinese Goshawk
3429	Accipitridae	Accipiter	francesiae	Accipiter francesiae	Frances's Sparrowhawk
3430	Accipitridae	Accipiter	trinotatus	Accipiter trinotatus	Spot-tailed Goshawk
3431	Accipitridae	Accipiter	novaehollandiae	Accipiter novaehollandiae	Grey Goshawk
3432	Accipitridae	Accipiter	fasciatus	Accipiter fasciatus	Brown Goshawk
3433	Accipitridae	Accipiter	melanochlamys	Accipiter melanochlamys	Black-mantled Goshawk
3434	Accipitridae	Accipiter	albogularis	Accipiter albogularis	Pied Goshawk
3435	Accipitridae	Accipiter	rufitorques	Accipiter rufitorques	Fiji Goshawk
3436	Accipitridae	Accipiter	haplochrous	Accipiter haplochrous	White-bellied Goshawk
3437	Accipitridae	Accipiter	henicogrammus	Accipiter henicogrammus	Moluccan Goshawk
3438	Accipitridae	Accipiter	luteoschistaceus	Accipiter luteoschistaceus	Slaty-mantled Sparrowhawk
3439	Accipitridae	Accipiter	imitator	Accipiter imitator	Imitator Sparrowhawk
3440	Accipitridae	Accipiter	poliocephalus	Accipiter poliocephalus	Grey-headed Goshawk
3441	Accipitridae	Accipiter	princeps	Accipiter princeps	New Britain Goshawk
3442	Accipitridae	Accipiter	superciliosus	Accipiter superciliosus	Tiny Hawk
3443	Accipitridae	Accipiter	collaris	Accipiter collaris	Semicollared Hawk
3444	Accipitridae	Accipiter	erythropus	Accipiter erythropus	Red-thighed Sparrowhawk
3445	Accipitridae	Accipiter	minullus	Accipiter minullus	Little Sparrowhawk
