source	Collecting_Institution	Collection_Date	Receipt_Date	Location	Country	State_Province	Latitude	Longitude	Host_Species	Host_Common_Name	Host_Identifier	Capture_Status	Health	Age	Behavior	Sample_Identifier	Sample_Material	Influenza_Test_Type	Influenza_Test_Result	Other_pathogens_tested_for (other than influenza)	Other_pathogen_test_result (other than influenza)	Habitat	Sex	Host_ID_Type	Sample_Transport_Medium	Strain_Name	Other_Host_and_Sample_Data									
2013_2_00195	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12195	A	H	A	W	217-12195	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00196	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12196	A	H	A	W	217-12196	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00197	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12198	A	H	A	W	217-12198	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00198	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12199	A	H	A	W	217-12199	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00199	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12200	A	H	A	W	217-12200	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00200	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12201	A	H	A	W	217-12201	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00201	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12202	A	H	A	W	217-12202	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00202	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12203	A	H	A	W	217-12203	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00203	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12204	A	H	A	W	217-12204	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7, virus isolation"	"p, n, n, p"	NA	NA	U	U		VTM	A/Black-headed Gull/Republic of Georgia-EMC/4/2012										
2013_2_00204	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12205	A	H	A	W	217-12205	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00205	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12206	A	H	A	W	217-12206	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00206	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12207	A	H	A	W	217-12207	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00207	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12208	A	H	A	W	217-12208	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00208	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12209	A	H	A	W	217-12209	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00209	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12210	A	H	A	W	217-12210	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00210	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12211	A	H	A	W	217-12211	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7, virus isolation"	"p, n, n, n"	NA	NA	U	U		VTM											
2013_2_00211	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12212	A	H	A	W	217-12212	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00212	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12213	A	H	A	W	217-12213	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00213	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12214	A	H	A	W	217-12214	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00214	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12215	A	H	A	W	217-12215	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7, virus isolation"	"p, n, n, n"	NA	NA	U	U		VTM											
2013_2_00215	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12216	A	H	A	W	217-12216	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00216	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12217	A	H	A	W	217-12217	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00217	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12218	A	H	A	W	217-12218	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00218	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12219	A	H	A	W	217-12219	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00219	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12220	A	H	A	W	217-12220	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00220	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12221	A	H	A	W	217-12221	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00221	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12222	A	H	A	W	217-12222	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00222	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12223	A	H	A	W	217-12223	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00223	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12224	A	H	A	W	217-12224	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00224	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12225	A	H	A	W	217-12225	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00225	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12226	A	H	A	W	217-12226	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00226	CIP047	9-1-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12227	A	H	A	W	217-12227	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00227	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11108	A	H	U	W	217-11108	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00228	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11109	A	H	U	W	217-11109	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00229	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11110	A	H	U	W	217-11110	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00230	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11111	A	H	U	W	217-11111	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00231	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11112	A	H	U	W	217-11112	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00232	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11113	A	H	U	W	217-11113	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00233	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11114	A	H	U	W	217-11114	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00234	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11116	A	H	U	W	217-11116	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00235	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11117	A	H	U	W	217-11117	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00236	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11118	A	H	U	W	217-11118	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00237	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11119	A	H	U	W	217-11119	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00238	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11120	A	H	U	W	217-11120	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00239	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11121	A	H	U	W	217-11121	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00240	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11122	A	H	U	W	217-11122	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00241	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11123	A	H	U	W	217-11123	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"p, n, n"	NA	NA	U	U		VTM											
2013_2_00242	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11124	A	H	U	W	217-11124	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00243	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11125	A	H	U	W	217-11125	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00244	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11126	A	H	U	W	217-11126	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00245	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11127	A	H	U	W	217-11127	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00246	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11128	A	H	U	W	217-11128	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00247	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11129	A	H	U	W	217-11129	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00248	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11130	A	H	U	W	217-11130	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00249	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11131	A	H	U	W	217-11131	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00250	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11132	A	H	U	W	217-11132	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00251	CIP047	29-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11133	A	H	U	W	217-11133	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00252	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13134	A	H	U	W	217-13134	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00253	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13141	A	H	U	W	217-13141	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00254	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13144	A	H	U	W	217-13144	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00255	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13147	A	H	U	W	217-13147	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00256	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13149	A	H	U	W	217-13149	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00257	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13150	A	H	U	W	217-13150	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00258	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13153	A	H	U	W	217-13153	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00259	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13154	A	H	U	W	217-13154	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00260	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13156	A	H	U	W	217-13156	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00261	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13158	A	H	U	W	217-13158	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00262	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13159	A	H	U	W	217-13159	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7, virus isolation"	"p, n, n, n"	NA	NA	U	U		VTM											
2013_2_00263	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13160	A	H	U	W	217-13160	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00264	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13163	A	H	U	W	217-13163	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00265	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13165	A	H	U	W	217-13165	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00266	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13167	A	H	U	W	217-13167	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00267	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13168	A	H	U	W	217-13168	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00268	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13170	A	H	U	W	217-13170	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00269	CIP047	13-2-2012	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-13173	A	H	U	W	217-13173	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00270	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13780	A	H	H	W	217-13780	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00271	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13781	A	H	H	W	217-13781	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00272	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13783	A	H	H	W	217-13783	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00273	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13784	A	H	H	W	217-13784	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00274	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13785	A	H	H	W	217-13785	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00275	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13786	A	H	H	W	217-13786	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00276	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13787	A	H	H	W	217-13787	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00277	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13788	A	H	H	W	217-13788	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00278	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13789	A	H	H	W	217-13789	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00279	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13790	A	H	H	W	217-13790	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00280	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13792	A	H	H	W	217-13792	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00281	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13793	A	H	H	W	217-13793	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00282	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13794	A	H	H	W	217-13794	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00283	CIP047	7-8-2012	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Larus armenicus	Armenian Gull	217-13795	A	H	H	W	217-13795	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
