source	Collecting_Institution	Collection_Date	Receipt_Date	Location	Country	State_Province	Latitude	Longitude	Host_Species	Host_Common_Name	Host_Identifier	Capture_Status	Health	Age	Behavior	Sample_Identifier	Sample_Material	Influenza_Test_Type	Influenza_Test_Result	Other_pathogens_tested_for (other than influenza)	Other_pathogen_test_result (other than influenza)	Habitat	Sex	Host_ID_Type	Sample_Transport_Medium	Strain_Name	Other_Host_and_Sample_Data									
2013_2_00020	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9850	A	H	U	W	7-9850	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00021	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9852	A	H	U	W	7-9852	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00022	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9853	A	H	U	W	7-9853	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00023	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9855	A	H	U	W	7-9855	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00024	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9856	A	H	U	W	7-9856	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00025	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9857	A	H	U	W	7-9857	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00026	CIP047	11-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Fulica atra	Common Coot	7-9790	A	H	U	W	7-9790	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00027	CIP047	11-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Fulica atra	Common Coot	7-9791	A	H	U	W	7-9791	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00028	CIP047	11-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Fulica atra	Common Coot	7-9792	A	H	U	W	7-9792	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00029	CIP047	11-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Fulica atra	Common Coot	7-9794	A	H	U	W	7-9794	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
