217-1081	other	cloacal/op
217-1082	other	cloacal/op
217-1083	other	cloacal/op
217-1084	other	cloacal/op
217-1085	other	cloacal/op
217-1087m	other	cloacal/op
217-1089	other	cloacal/op
217-1090	other	cloacal/op
217-1091	other	cloacal/op
217-1092	other	cloacal/op
217-1093	other	cloacal/op
217-1094	other	cloacal/op
217-1095	other	cloacal/op
217-1096	other	cloacal/op
217-1097	other	cloacal/op
217-1098	other	cloacal/op
217-1099	other	cloacal/op
217-1102	other	cloacal/op
217-1105	other	cloacal/op
217-1113	other	cloacal/op
217-1114	other	cloacal/op
217-1120	other	cloacal/op
217-1123	other	cloacal/op
217-1132	other	cloacal/op
217-1133	tracheal/op swab	tracheal swab
217-1137	tracheal/op swab	tracheal swab
217-1143	tracheal/op swab	tracheal swab
217-1147	tracheal/op swab	tracheal swab
217-1154	tracheal/op swab	tracheal swab
217-1168	tracheal/op swab	tracheal swab
217-1172	tracheal/op swab	tracheal swab
217-1176	tracheal/op swab	tracheal swab
217-1180	tracheal/op swab	tracheal swab
217-1182	tracheal/op swab	tracheal swab
217-1183	tracheal/op swab	tracheal swab
217-1086	other	cloacal/op
217-1087f	other	cloacal/op
217-1088	other	cloacal/op
217-1193	other	cloacal/op
217-1196	other	cloacal/op
217-1100	other	cloacal/op
217-1101	other	cloacal/op
217-1103	other	cloacal/op
217-1104	other	cloacal/op
217-1106	other	cloacal/op
217-1107	other	cloacal/op
217-1108	other	cloacal/op
217-1109	other	cloacal/op
217-1110	other	cloacal/op
217-1111	other	cloacal/op
217-1112	other	cloacal/op
217-1115	other	cloacal/op
217-1116	other	cloacal/op
217-1117	other	cloacal/op
217-1118	other	cloacal/op
217-1119	other	cloacal/op
217-1124	other	cloacal/op
217-1125	other	cloacal/op
217-1126	other	cloacal/op
217-1127	other	cloacal/op
217-1128	other	cloacal/op
217-1129	other	cloacal/op
217-1130	other	cloacal/op
217-1131	other	cloacal/op
217-1134	tracheal/op swab	tracheal swab
217-1136	tracheal/op swab	tracheal swab
217-1141	tracheal/op swab	tracheal swab
217-1142	tracheal/op swab	tracheal swab
217-1145	tracheal/op swab	tracheal swab
217-1148	tracheal/op swab	tracheal swab
217-1150	tracheal/op swab	tracheal swab
217-1158	tracheal/op swab	tracheal swab
217-1160	tracheal/op swab	tracheal swab
217-1161	tracheal/op swab	tracheal swab
217-1163	tracheal/op swab	tracheal swab
217-1164	tracheal/op swab	tracheal swab
217-1165	tracheal/op swab	tracheal swab
217-1167	tracheal/op swab	tracheal swab
217-1178	tracheal/op swab	tracheal swab
217-1184	other	cloacal/op
217-1185	other	cloacal/op
217-1186	other	cloacal/op
217-1188	other	cloacal/op
217-1189	other	cloacal/op
217-1190	other	cloacal/op
217-1191	other	cloacal/op
217-1192	other	cloacal/op
217-1194	other	cloacal/op
217-1195	other	cloacal/op
217-1197	other	cloacal/op
217-1198	other	cloacal/op
217-1199	other	cloacal/op
217-1200	other	cloacal/op
217-1201	other	cloacal/op
217-1202	other	cloacal/op
217-1203	other	cloacal/op
217-1204	other	cloacal/op
217-1205	other	cloacal/op
217-1206	other	cloacal/op
217-1207	other	cloacal/op
217-1208	other	cloacal/op
217-1209	other	cloacal/op
217-1210	other	cloacal/op
217-1211	other	cloacal/op
217-1212	other	cloacal/op
217-1213	other	cloacal/op
217-1214	other	cloacal/op
217-1215	other	cloacal/op
217-1216	other	cloacal/op
217-1217	other	cloacal/op
217-1218	other	cloacal/op
217-1219	other	cloacal/op
217-1220	other	cloacal/op
217-1221	other	cloacal/op
217-1222	other	cloacal/op
217-1223	other	cloacal/op
217-1224	other	cloacal/op
217-1225	other	cloacal/op
217-1226	other	cloacal/op
217-1228	other	cloacal/op
217-1230	other	cloacal/op
217-1231	other	cloacal/op
217-1232	other	cloacal/op
217-1233	tracheal/op swab	tracheal swab
217-1235	tracheal/op swab	tracheal swab
217-1237	tracheal/op swab	tracheal swab
217-1238	tracheal/op swab	tracheal swab
217-1239	tracheal/op swab	tracheal swab
217-1241	tracheal/op swab	tracheal swab
217-1242	tracheal/op swab	tracheal swab
217-1243	tracheal/op swab	tracheal swab
217-1244	tracheal/op swab	tracheal swab
217-1246	tracheal/op swab	tracheal swab
217-1249	tracheal/op swab	tracheal swab
217-1251	tracheal/op swab	tracheal swab
217-1252	tracheal/op swab	tracheal swab
217-1254	tracheal/op swab	tracheal swab
217-1256	tracheal/op swab	tracheal swab
217-1261	tracheal/op swab	tracheal swab
217-1262	tracheal/op swab	tracheal swab
217-1263	tracheal/op swab	tracheal swab
217-1264	tracheal/op swab	tracheal swab
217-1268	tracheal/op swab	tracheal swab
217-1269	tracheal/op swab	tracheal swab
217-1270	tracheal/op swab	tracheal swab
217-1272	tracheal/op swab	tracheal swab
217-1273	tracheal/op swab	tracheal swab
217-1275	tracheal/op swab	tracheal swab
217-1276	tracheal/op swab	tracheal swab
217-1277	tracheal/op swab	tracheal swab
217-1278	tracheal/op swab	tracheal swab
217-1279	tracheal/op swab	tracheal swab
217-1280	tracheal/op swab	tracheal swab
217-1282	tracheal/op swab	tracheal swab
217-1285	tracheal/op swab	tracheal swab
217-1287	tracheal/op swab	tracheal swab
217-1289	tracheal/op swab	tracheal swab
217-1291	tracheal/op swab	tracheal swab
217-1292	tracheal/op swab	tracheal swab
217-1294	tracheal/op swab	tracheal swab
217-1296	tracheal/op swab	tracheal swab
217-1298	tracheal/op swab	tracheal swab
217-1299	tracheal/op swab	tracheal swab
217-1304	tracheal/op swab	tracheal swab
217-1307	tracheal/op swab	tracheal swab
217-1310	tracheal/op swab	tracheal swab
